"zip","state","latitude","longitude","population"
"00911","PR",18.45009,-66.0577,9345
"00912","PR",18.445946,-66.05928,7992
"00913","PR",18.450907,-66.04256,10893
"00915","PR",18.436995,-66.04888,35993
"00917","PR",18.422263,-66.0513,26165
"00918","PR",18.417668,-66.06494,18144
"00920","PR",18.41242,-66.09069,19424
"00921","PR",18.394019,-66.08633,45230
"00923","PR",18.410681,-66.03806,31410
"00924","PR",18.401917,-66.01194,62205
"00925","PR",18.400006,-66.05028,8101
"00926","PR",18.361363,-66.0562,102545
"00927","PR",18.39184,-66.06867,16560
"00934","PR",18.413511,-66.12198,722
"00949","PR",18.433173,-66.2042,81694
"00952","PR",18.429218,-66.18014,12028
"00953","PR",18.36802,-66.23414,62470
"00956","PR",18.34216,-66.16643,80844
"00957","PR",18.369674,-66.18669,50620
"00959","PR",18.387063,-66.15943,53465
"00961","PR",18.412462,-66.16033,39407
"00962","PR",18.437683,-66.13847,30071
"00965","PR",18.431453,-66.11703,9397
"00966","PR",18.398507,-66.11522,15785
"00968","PR",18.408479,-66.1025,3885
"00969","PR",18.366981,-66.10889,48787
"00971","PR",18.329688,-66.11876,29136
"00976","PR",18.346767,-66.00561,73465
"00979","PR",18.431885,-66.0127,18681
"00982","PR",18.409345,-65.99313,14641
"00983","PR",18.414408,-65.97582,47396
"00985","PR",18.374896,-65.94691,60824
"00987","PR",18.372228,-65.96275,40879
"01001","MA",42.07061,-72.62029,16475
"01002","MA",42.377651,-72.50323,36776
"01005","MA",42.412094,-72.10443,5079
"01007","MA",42.278424,-72.411,12997
"01008","MA",42.174313,-72.94828,1234
"01010","MA",42.126038,-72.20552,3350
"01011","MA",42.271442,-73.01958,2085
"01012","MA",42.390836,-72.84356,521
"01013","MA",42.161492,-72.60316,22963
"01020","MA",42.175992,-72.57265,29325
"01022","MA",42.196666,-72.55606,2365
"01026","MA",42.465041,-72.91813,1079
"01027","MA",42.27279,-72.68677,17493
"01028","MA",42.066795,-72.5102,14195
"01029","MA",42.175896,-73.04204,581
"01030","MA",42.070774,-72.67248,11669
"01031","MA",42.33071,-72.18833,1243
"01032","MA",42.45792,-72.81551,201
"01033","MA",42.254563,-72.51831,6134
"01034","MA",42.086224,-72.94464,1929
"01035","MA",42.35549,-72.5733,4793
"01036","MA",42.064703,-72.41735,5076
"01037","MA",42.374202,-72.19524,740
"01038","MA",42.375155,-72.60832,2652
"01039","MA",42.381475,-72.69259,1085
"01040","MA",42.201891,-72.6242,39838
"01050","MA",42.290209,-72.87942,2385
"01053","MA",42.353105,-72.70206,1514
"01054","MA",42.479839,-72.49879,1453
"01056","MA",42.174893,-72.47068,21149
"01057","MA",42.089269,-72.317,8299
"01060","MA",42.324539,-72.63561,16261
"01062","MA",42.324232,-72.67915,11172
"01068","MA",42.349769,-72.04413,1713
"01069","MA",42.176401,-72.32646,9879
"01070","MA",42.515853,-72.91661,548
"01071","MA",42.165931,-72.85153,1649
"01072","MA",42.486027,-72.42208,1489
"01073","MA",42.223885,-72.72777,5387
"01075","MA",42.234891,-72.58243,17254
"01077","MA",42.05283,-72.76966,8835
"01080","MA",42.180563,-72.36518,2585
"01081","MA",42.058024,-72.22517,1620
"01082","MA",42.270611,-72.26067,9955
"01083","MA",42.20468,-72.20259,2297
"01084","MA",42.379807,-72.89043,161
"01085","MA",42.133642,-72.75029,40734
"01088","MA",42.388831,-72.6321,522
"01089","MA",42.112793,-72.64066,27899
"01092","MA",42.210777,-72.23904,1126
"01095","MA",42.12531,-72.44057,13672
"01096","MA",42.415236,-72.78271,2641
"01098","MA",42.399054,-72.93871,1169
"01103","MA",42.103294,-72.59112,2721
"01104","MA",42.130343,-72.57338,22401
"01105","MA",42.096644,-72.5798,13161
"01106","MA",42.050395,-72.5712,15903
"01107","MA",42.120193,-72.6061,11336
"01108","MA",42.084094,-72.55523,25755
"01109","MA",42.116277,-72.55031,30851
"01118","MA",42.093144,-72.5291,14199
"01119","MA",42.128442,-72.50932,13138
"01128","MA",42.095344,-72.48857,2917
"01129","MA",42.121031,-72.4896,7043
"01151","MA",42.153926,-72.50531,8290
"01201","MA",42.45384,-73.254,47658
"01220","MA",42.619727,-73.11842,9404
"01222","MA",42.057496,-73.32177,825
"01223","MA",42.314449,-73.09335,1764
"01225","MA",42.551731,-73.1653,2806
"01226","MA",42.476575,-73.11547,7858
"01230","MA",42.189715,-73.35249,9242
"01235","MA",42.433661,-73.09278,2538
"01236","MA",42.266874,-73.36236,2015
"01237","MA",42.557346,-73.24364,2449
"01238","MA",42.299263,-73.2327,6402
"01240","MA",42.36237,-73.27683,5285
"01242","MA",42.336557,-73.24599,106
"01245","MA",42.180659,-73.20849,973
"01247","MA",42.696064,-73.10145,17052
"01253","MA",42.198403,-73.10205,644
"01254","MA",42.374711,-73.36336,998
"01255","MA",42.088973,-73.12444,783
"01256","MA",42.592506,-73.01123,692
"01257","MA",42.102694,-73.36591,2335
"01258","MA",42.103122,-73.45734,134
"01259","MA",42.0645,-73.24674,521
"01262","MA",42.283216,-73.31423,772
"01264","MA",42.224905,-73.20394,233
"01266","MA",42.328535,-73.36407,1742
"01267","MA",42.689962,-73.22355,8749
"01301","MA",42.605524,-72.60098,18483
"01330","MA",42.521131,-72.81116,1601
"01331","MA",42.579931,-72.20836,12899
"01337","MA",42.678023,-72.55569,2619
"01338","MA",42.569498,-72.802,21
"01339","MA",42.626858,-72.87939,2051
"01340","MA",42.673371,-72.73104,1875
"01341","MA",42.508313,-72.70403,1745
"01342","MA",42.542322,-72.6091,1013
"01344","MA",42.607051,-72.41396,832
"01346","MA",42.669255,-72.80494,334
"01349","MA",42.5737,-72.50525,1644
"01350","MA",42.712257,-72.97629,55
"01351","MA",42.534976,-72.52522,2422
"01355","MA",42.485899,-72.33345,889
"01360","MA",42.682285,-72.45649,2951
"01364","MA",42.599614,-72.29263,7564
"01366","MA",42.474718,-72.21226,1174
"01367","MA",42.694883,-72.90962,374
"01368","MA",42.671012,-72.16999,1269
"01370","MA",42.603447,-72.72754,4351
"01373","MA",42.472734,-72.62452,5300
"01375","MA",42.449978,-72.56302,3787
"01376","MA",42.609425,-72.54438,6422
"01378","MA",42.667152,-72.32729,753
"01379","MA",42.547274,-72.41724,938
"01380","MA",42.594455,-72.36314,40
"01420","MA",42.578689,-71.80338,39102
"01430","MA",42.658768,-71.93287,5569
"01431","MA",42.672005,-71.8137,2845
"01432","MA",42.549821,-71.59136,8029
"01436","MA",42.608903,-72.08021,3053
"01438","MA",42.563367,-72.03498,128
"01440","MA",42.575355,-71.99183,21111
"01450","MA",42.609887,-71.55722,9547
"01451","MA",42.505928,-71.5888,5031
"01452","MA",42.477515,-71.99654,3909
"01453","MA",42.526523,-71.75358,41447
"01460","MA",42.540052,-71.49085,8184
"01462","MA",42.582839,-71.72051,9401
"01463","MA",42.665686,-71.5929,11142
"01464","MA",42.559289,-71.64555,6368
"01467","MA",42.488666,-71.62412,208
"01468","MA",42.557796,-72.06824,3300
"01469","MA",42.658738,-71.69204,6072
"01473","MA",42.544622,-71.9021,6907
"01474","MA",42.669408,-71.74578,3131
"01475","MA",42.675441,-72.0467,9571
"01501","MA",42.20361,-71.83843,15827
"01503","MA",42.380562,-71.62665,2380
"01504","MA",42.028147,-71.52999,8804
"01505","MA",42.338392,-71.73026,4008
"01506","MA",42.200374,-72.09787,3051
"01507","MA",42.135142,-71.96961,11263
"01510","MA",42.418836,-71.68482,13435
"01515","MA",42.212777,-72.05311,2097
"01516","MA",42.061437,-71.72887,7067
"01518","MA",42.12515,-72.12393,2306
"01519","MA",42.201674,-71.68771,5701
"01520","MA",42.338962,-71.84434,12702
"01521","MA",42.054676,-72.16137,2407
"01522","MA",42.369658,-71.87418,2919
"01523","MA",42.473131,-71.67946,7236
"01524","MA",42.238942,-71.91908,6178
"01527","MA",42.196144,-71.76272,12784
"01529","MA",42.036396,-71.57798,2724
"01531","MA",42.317121,-72.12248,907
"01532","MA",42.321917,-71.64692,14013
"01534","MA",42.140741,-71.64376,4710
"01535","MA",42.267274,-72.07823,4683
"01536","MA",42.231444,-71.70523,6430
"01537","MA",42.170846,-71.88989,1798
"01540","MA",42.117527,-71.8657,11523
"01541","MA",42.451569,-71.882,3353
"01542","MA",42.194793,-71.90651,1926
"01543","MA",42.380877,-71.96427,6353
"01545","MA",42.286643,-71.72502,31658
"01550","MA",42.070827,-72.03533,17214
"01560","MA",42.177462,-71.69382,2776
"01562","MA",42.247212,-71.99227,11691
"01564","MA",42.436875,-71.77333,7257
"01566","MA",42.104581,-72.08584,5531
"01568","MA",42.17382,-71.60971,5629
"01569","MA",42.064978,-71.62992,11089
"01570","MA",42.047728,-71.86108,15700
"01571","MA",42.049864,-71.9173,10751
"01581","MA",42.269845,-71.61408,17997
"01583","MA",42.359842,-71.787,6195
"01585","MA",42.242965,-72.16734,5569
"01588","MA",42.114195,-71.67225,8517
"01590","MA",42.131028,-71.75121,8250
"01602","MA",42.272359,-71.84482,22983
"01603","MA",42.240526,-71.83776,17606
"01604","MA",42.255393,-71.77459,33519
"01605","MA",42.286543,-71.78846,24410
"01606","MA",42.311342,-71.79531,19905
"01607","MA",42.229543,-71.79501,7416
"01608","MA",42.261343,-71.80173,3222
"01609","MA",42.271743,-71.81348,21314
"01610","MA",42.248493,-71.80793,23615
"01611","MA",42.238449,-71.87139,2398
"01612","MA",42.307591,-71.91929,4386
"01701","MA",42.318695,-71.42344,31010
"01702","MA",42.283995,-71.42161,36061
"01718","MA",42.519739,-71.42721,438
"01719","MA",42.486259,-71.51244,4868
"01720","MA",42.477142,-71.4422,19813
"01721","MA",42.257956,-71.45886,14674
"01730","MA",42.496679,-71.27504,12566
"01731","MA",42.459085,-71.27556,2933
"01740","MA",42.437086,-71.61266,4148
"01741","MA",42.5286,-71.35084,4717
"01742","MA",42.457201,-71.37478,17073
"01745","MA",42.295544,-71.50468,340
"01746","MA",42.196065,-71.43797,13801
"01747","MA",42.125536,-71.53662,5696
"01748","MA",42.220447,-71.53418,13346
"01749","MA",42.389813,-71.55791,18113
"01752","MA",42.350909,-71.54753,36255
"01754","MA",42.430781,-71.45594,10433
"01756","MA",42.092006,-71.54474,5286
"01757","MA",42.149176,-71.52149,27010
"01760","MA",42.290763,-71.35368,31887
"01770","MA",42.231025,-71.37202,4200
"01772","MA",42.297643,-71.53369,8441
"01773","MA",42.425537,-71.30316,5152
"01775","MA",42.423882,-71.51086,5902
"01776","MA",42.38532,-71.42989,16841
"01778","MA",42.345583,-71.35643,13222
"01801","MA",42.484545,-71.15206,37258
"01803","MA",42.506362,-71.20008,22876
"01810","MA",42.646942,-71.1513,31247
"01821","MA",42.54805,-71.25054,29274
"01824","MA",42.595491,-71.3544,25428
"01826","MA",42.677772,-71.316,28562
"01827","MA",42.671356,-71.50292,2822
"01830","MA",42.78519,-71.07011,24122
"01832","MA",42.781357,-71.11023,21431
"01833","MA",42.729437,-70.98291,7377
"01834","MA",42.750691,-71.02487,6038
"01835","MA",42.757767,-71.08518,13416
"01840","MA",42.706941,-71.16181,4450
"01841","MA",42.71159,-71.16667,44339
"01843","MA",42.691091,-71.16078,23189
"01844","MA",42.73004,-71.17935,43854
"01845","MA",42.683841,-71.11171,27202
"01850","MA",42.655791,-71.30504,15808
"01851","MA",42.630915,-71.33238,29631
"01852","MA",42.634112,-71.29849,32904
"01854","MA",42.649758,-71.33348,26824
"01860","MA",42.834246,-71.00207,6138
"01862","MA",42.573592,-71.2911,10074
"01863","MA",42.634199,-71.39322,8430
"01864","MA",42.583436,-71.0982,13865
"01867","MA",42.52585,-71.10993,23708
"01876","MA",42.601684,-71.22071,28484
"01879","MA",42.671589,-71.41694,11088
"01880","MA",42.501345,-71.07132,24804
"01886","MA",42.592086,-71.43754,20754
"01887","MA",42.558576,-71.17031,21335
"01890","MA",42.451945,-71.14276,20810
"01902","MA",42.469946,-70.94113,47625
"01904","MA",42.490421,-70.96579,18052
"01905","MA",42.464879,-70.97411,23410
"01906","MA",42.462796,-71.0098,26041
"01907","MA",42.474409,-70.90588,14412
"01908","MA",42.427096,-70.92809,3632
"01913","MA",42.854423,-70.93547,16397
"01915","MA",42.560995,-70.8757,39862
"01921","MA",42.677869,-71.00844,7921
"01922","MA",42.76087,-70.92648,2854
"01923","MA",42.569756,-70.94322,25212
"01929","MA",42.631753,-70.77925,3267
"01930","MA",42.624015,-70.67552,30273
"01938","MA",42.682965,-70.84007,12987
"01940","MA",42.527895,-71.02834,11542
"01944","MA",42.580033,-70.76462,5228
"01945","MA",42.497146,-70.86323,20377
"01949","MA",42.602278,-71.01356,7744
"01950","MA",42.809891,-70.86363,18387
"01951","MA",42.780141,-70.86866,2718
"01952","MA",42.85048,-70.86153,7827
"01960","MA",42.534045,-70.96146,48129
"01966","MA",42.659936,-70.61727,7767
"01969","MA",42.716708,-70.90899,5500
"01970","MA",42.516845,-70.8985,40407
"01982","MA",42.616643,-70.86513,8315
"01983","MA",42.642471,-70.94424,6141
"01984","MA",42.600518,-70.87618,4440
"01985","MA",42.790736,-70.97286,4149
"02019","MA",42.075122,-71.47953,15314
"02021","MA",42.166776,-71.1343,20614
"02025","MA",42.241908,-70.81223,7261
"02026","MA",42.244609,-71.16553,23527
"02030","MA",42.23888,-71.28241,5558
"02032","MA",42.153912,-71.21362,3914
"02035","MA",42.061427,-71.24232,16246
"02038","MA",42.089104,-71.4069,29560
"02043","MA",42.225708,-70.88764,19882
"02045","MA",42.286347,-70.87663,11050
"02048","MA",42.019982,-71.2191,22414
"02050","MA",42.109763,-70.69172,24757
"02052","MA",42.185571,-71.30476,12273
"02053","MA",42.151526,-71.42315,12448
"02054","MA",42.166398,-71.36178,7902
"02056","MA",42.111836,-71.32855,10460
"02061","MA",42.15243,-70.8205,9765
"02062","MA",42.185974,-71.20166,28587
"02066","MA",42.205038,-70.7513,17430
"02067","MA",42.113749,-71.17923,17396
"02071","MA",42.101406,-71.27239,995
"02072","MA",42.125432,-71.10627,27149
"02081","MA",42.145237,-71.25375,17927
"02090","MA",42.212949,-71.20735,14100
"02093","MA",42.0597,-71.34617,10554
"02108","MA",42.357903,-71.06408,3309
"02109","MA",42.361477,-71.05417,3492
"02110","MA",42.356532,-71.05365,1356
"02111","MA",42.349838,-71.06101,5180
"02113","MA",42.365028,-71.05636,6378
"02114","MA",42.361792,-71.06774,11200
"02115","MA",42.34308,-71.09268,25202
"02116","MA",42.349622,-71.07372,19448
"02118","MA",42.338724,-71.07276,22074
"02119","MA",42.324511,-71.08455,23781
"02120","MA",42.332099,-71.09651,11218
"02121","MA",42.307448,-71.08127,24880
"02122","MA",42.296298,-71.05454,23870
"02124","MA",42.28713,-71.07156,51344
"02125","MA",42.316852,-71.05811,33952
"02126","MA",42.272098,-71.09426,28147
"02127","MA",42.33499,-71.04562,29530
"02128","MA",42.378297,-71.0255,38413
"02129","MA",42.378619,-71.06495,15195
"02130","MA",42.309998,-71.11171,36232
"02131","MA",42.284678,-71.13052,32404
"02132","MA",42.279432,-71.1598,23826
"02134","MA",42.355147,-71.13164,21333
"02135","MA",42.348418,-71.15349,44016
"02136","MA",42.252198,-71.12593,28337
"02138","MA",42.379146,-71.12803,35556
"02139","MA",42.364347,-71.10431,34638
"02140","MA",42.393327,-71.12837,16846
"02141","MA",42.370519,-71.08443,12271
"02142","MA",42.362297,-71.08412,2065
"02143","MA",42.381929,-71.09908,25135
"02144","MA",42.399546,-71.12165,25062
"02145","MA",42.390846,-71.09225,26861
"02148","MA",42.428549,-71.06059,56340
"02149","MA",42.409916,-71.0522,38037
"02150","MA",42.396382,-71.03352,35080
"02151","MA",42.416247,-71.00525,47283
"02152","MA",42.373047,-70.97803,18303
"02155","MA",42.419846,-71.10942,56185
"02163","MA",42.367946,-71.12056,1134
"02169","MA",42.250739,-70.99593,52117
"02170","MA",42.267049,-71.01834,19327
"02171","MA",42.284498,-71.02316,16581
"02176","MA",42.459045,-71.06233,27134
"02180","MA",42.480145,-71.09835,22219
"02184","MA",42.209555,-70.99968,33828
"02186","MA",42.253074,-71.07496,26062
"02188","MA",42.212866,-70.95872,14789
"02189","MA",42.2112,-70.93111,14897
"02190","MA",42.1711,-70.94597,15561
"02191","MA",42.242749,-70.94434,8741
"02199","MA",42.34713,-71.08234,995
"02210","MA",42.347974,-71.04463,509
"02215","MA",42.346997,-71.10215,22331
"02222","MA",42.367797,-71.06282,55
"02301","MA",42.0794,-71.03441,61551
"02302","MA",42.08715,-71.00222,32753
"02322","MA",42.121932,-71.04522,4443
"02324","MA",41.979501,-70.97215,25179
"02330","MA",41.873697,-70.7656,11163
"02332","MA",42.031371,-70.70105,14248
"02333","MA",42.029083,-70.95227,12974
"02338","MA",41.999851,-70.85395,7513
"02339","MA",42.12867,-70.85913,13164
"02341","MA",42.059434,-70.86205,9482
"02343","MA",42.148351,-71.01037,10682
"02346","MA",41.889582,-70.89406,19897
"02347","MA",41.835094,-70.95973,9865
"02351","MA",42.119534,-70.94787,14605
"02356","MA",42.058507,-71.11309,12614
"02358","MA",41.805219,-70.62642,13
"02359","MA",42.065554,-70.80426,16927
"02360","MA",41.894676,-70.61999,51547
"02364","MA",41.993102,-70.73827,11780
"02366","MA",41.854063,-70.66088,136
"02367","MA",41.968987,-70.80452,2637
"02368","MA",42.173417,-71.04912,31227
"02370","MA",42.129513,-70.91189,17670
"02375","MA",42.029749,-71.10191,9685
"02379","MA",42.02195,-71.01878,6640
"02382","MA",42.08235,-70.93734,13882
"02420","MA",42.452895,-71.21619,14126
"02421","MA",42.439295,-71.23553,16239
"02445","MA",42.324397,-71.13933,26259
"02446","MA",42.344747,-71.12141,29647
"02451","MA",42.393029,-71.24771,17774
"02452","MA",42.392496,-71.22153,12306
"02453","MA",42.370446,-71.23563,29146
"02458","MA",42.354727,-71.18809,11864
"02459","MA",42.321197,-71.193,17893
"02460","MA",42.352996,-71.20907,9672
"02461","MA",42.31883,-71.20822,6362
"02462","MA",42.331646,-71.25761,1464
"02464","MA",42.311997,-71.22046,2849
"02465","MA",42.351046,-71.22677,10995
"02466","MA",42.345833,-71.24735,7235
"02467","MA",42.321997,-71.17314,10759
"02468","MA",42.325247,-71.2319,5891
"02472","MA",42.371296,-71.18196,32986
"02474","MA",42.419496,-71.15635,25682
"02476","MA",42.416745,-71.17761,16697
"02478","MA",42.391546,-71.17471,24173
"02481","MA",42.313329,-71.27649,14128
"02482","MA",42.300096,-71.30336,12485
"02492","MA",42.278247,-71.23388,19697
"02493","MA",42.358663,-71.28831,11469
"02494","MA",42.29813,-71.23154,9214
"02532","MA",41.751841,-70.59764,14793
"02534","MA",41.66566,-70.616,815
"02535","MA",41.345578,-70.75145,1196
"02536","MA",41.578992,-70.5614,19699
"02537","MA",41.733837,-70.43754,5945
"02538","MA",41.782915,-70.64881,2910
"02539","MA",41.380479,-70.52453,3779
"02540","MA",41.56105,-70.61968,8892
"02542","MA",41.665605,-70.52456,1602
"02543","MA",41.526791,-70.66505,750
"02554","MA",41.276758,-70.09089,9520
"02556","MA",41.6403,-70.63036,3301
"02558","MA",41.746424,-70.65956,1928
"02559","MA",41.694132,-70.61706,3205
"02563","MA",41.735645,-70.48866,10874
"02568","MA",41.451263,-70.60872,9555
"02571","MA",41.751554,-70.71059,10500
"02575","MA",41.378807,-70.66376,398
"02576","MA",41.776042,-70.75783,2982
"02601","MA",41.654741,-70.2895,16181
"02630","MA",41.700327,-70.29568,1752
"02631","MA",41.746647,-70.07773,9988
"02632","MA",41.658718,-70.34658,11204
"02633","MA",41.686534,-69.97746,4237
"02635","MA",41.625037,-70.44317,3362
"02638","MA",41.736684,-70.19183,3892
"02639","MA",41.661115,-70.13348,3245
"02642","MA",41.844087,-69.98921,5453
"02644","MA",41.683462,-70.51211,3773
"02645","MA",41.707332,-70.05679,9575
"02646","MA",41.669219,-70.07419,1886
"02647","MA",41.63275,-70.30435,73
"02648","MA",41.667689,-70.4168,7437
"02649","MA",41.613743,-70.48754,12964
"02650","MA",41.702265,-69.96958,1046
"02652","MA",42.02889,-70.07938,1351
"02653","MA",41.777647,-69.97312,6287
"02655","MA",41.632935,-70.38693,4121
"02657","MA",42.053355,-70.18947,3431
"02659","MA",41.678628,-70.02495,1219
"02660","MA",41.712338,-70.16165,7252
"02661","MA",41.675799,-70.0396,7
"02664","MA",41.670981,-70.19797,9836
"02666","MA",41.992804,-70.05427,732
"02667","MA",41.922412,-70.01484,2753
"02668","MA",41.70631,-70.37048,3358
"02669","MA",41.673635,-69.99494,178
"02670","MA",41.659749,-70.17089,1584
"02671","MA",41.665589,-70.11152,1023
"02672","MA",41.636077,-70.31962,201
"02673","MA",41.656883,-70.23726,8331
"02675","MA",41.703205,-70.22395,6808
"02702","MA",41.792192,-71.06446,4092
"02703","MA",41.928099,-71.31456,42068
"02713","MA",41.429673,-70.8954,59
"02715","MA",41.811514,-71.13633,2202
"02717","MA",41.765934,-70.95332,4380
"02718","MA",41.876249,-71.01827,6809
"02719","MA",41.634152,-70.8814,16159
"02720","MA",41.716952,-71.13986,31683
"02721","MA",41.685452,-71.15425,26336
"02723","MA",41.691369,-71.13234,15941
"02724","MA",41.684152,-71.17436,17479
"02725","MA",41.721652,-71.17482,2813
"02726","MA",41.754828,-71.14894,15383
"02738","MA",41.706599,-70.75086,5123
"02739","MA",41.654776,-70.80087,6268
"02740","MA",41.634754,-70.93752,43159
"02743","MA",41.697015,-70.91019,10072
"02744","MA",41.610754,-70.91453,11718
"02745","MA",41.692806,-70.93264,23984
"02746","MA",41.659336,-70.93347,15073
"02747","MA",41.637916,-70.99076,19359
"02748","MA",41.59156,-70.9494,11315
"02760","MA",41.975495,-71.33086,24889
"02762","MA",42.011848,-71.32392,7683
"02763","MA",41.967949,-71.31024,2254
"02764","MA",41.851557,-71.15125,3973
"02766","MA",41.969185,-71.1854,18036
"02767","MA",41.934586,-71.04905,11488
"02769","MA",41.835067,-71.26115,10122
"02770","MA",41.760783,-70.83848,4390
"02771","MA",41.84345,-71.32343,13425
"02777","MA",41.741551,-71.21433,15989
"02779","MA",41.825252,-71.07799,5749
"02780","MA",41.904888,-71.10288,49418
"02790","MA",41.602517,-71.08904,14597
"02804","RI",41.430068,-71.78101,2829
"02806","RI",41.746834,-71.32031,16819
"02807","RI",41.171389,-71.58358,1010
"02808","RI",41.402009,-71.74785,2297
"02809","RI",41.6842,-71.26866,22469
"02812","RI",41.46603,-71.66408,1250
"02813","RI",41.385256,-71.66813,7859
"02814","RI",41.896002,-71.70335,7603
"02815","RI",41.777861,-71.67009,275
"02816","RI",41.69105,-71.57462,31239
"02817","RI",41.625874,-71.67023,5122
"02818","RI",41.649733,-71.46815,18349
"02822","RI",41.563937,-71.60547,5619
"02825","RI",41.785151,-71.72021,5171
"02827","RI",41.695419,-71.74472,2392
"02828","RI",41.870799,-71.5539,7199
"02830","RI",41.976659,-71.64969,6860
"02831","RI",41.73865,-71.57482,3152
"02832","RI",41.511414,-71.72737,4755
"02833","RI",41.470822,-71.77722,659
"02835","RI",41.520312,-71.3718,5622
"02836","RI",41.448844,-71.62145,116
"02837","RI",41.518038,-71.16548,3593
"02838","RI",41.968698,-71.47503,3214
"02839","RI",41.948108,-71.64003,1185
"02840","RI",41.488002,-71.31262,26509
"02842","RI",41.511739,-71.28658,17300
"02852","RI",41.589701,-71.454,23657
"02857","RI",41.83902,-71.6257,8388
"02858","RI",41.96186,-71.64661,829
"02859","RI",41.964896,-71.72311,7265
"02860","RI",41.872099,-71.39007,46398
"02861","RI",41.881632,-71.35583,26617
"02863","RI",41.889863,-71.3926,18946
"02864","RI",41.949099,-71.41181,31840
"02865","RI",41.905666,-71.43023,17684
"02871","RI",41.603929,-71.26099,17149
"02874","RI",41.515135,-71.45692,4712
"02875","RI",41.447642,-71.63877,263
"02878","RI",41.629413,-71.18724,15260
"02879","RI",41.423601,-71.52322,18897
"02881","RI",41.481001,-71.52689,6973
"02882","RI",41.432452,-71.46352,14626
